Product_Brand,Product_Name,Product_Type,Product_Category,Product_Original_Price,Product_Offer_Price,Product_Discount,Product_Rating,Product_Ratings_Count,Product_Reviews_Count,Product_Highlight,Product_Stock_Status,Product_Rating_Scale,Product_Price_Difference
Lakme,"Lakme Lumi Moisturizer + 9 to 5 CC Light
Mousse Beige Combo",Kits & Combos,Combo,874,760,13,4.3,54840,2411,,In Stock,High,114
Lakme,"Lakme Lumi-Smooth AHA+ Face Wash + Oil-
Control Moisturizer Combo",Kits & Combos,Combo,624,562,10,4.6,726,291,,In Stock,High,62
Lakme,"Lakme Eyeconic Curling Mascara - Black +
Absolute Blur Perfect Makeup Primer
Combo",Kits & Combos,Combo,1349,877,35,4.4,57052,4407,,In Stock,High,472
Lakme,"Lakme Vit C Superglow Base Combo (Fixer
+ Primer)(2 Pcs)",Kits & Combos,Combo,724,652,10,4.5,2015,296,,In Stock,High,72
Lakme,Lakme Dewy Skin Day & Night Kit (2 pcs),Kits & Combos,Combo,1698,1528,10,4.5,6560,488,,In Stock,High,170
Lakme,"Lakme Absolute Matte Ultimate Lip Color
with Argan Oil - 205 Orchid Pink (3.4g)",Makeup,Lips,800,0,0,4.4,15054,1387,,In Stock,High,800
Lakme,Lakme Lip Nude Favourites (2 pcs),Kits & Combos,Combo,1375,825,40,4.2,62331,8958,,In Stock,High,550
Lakme,"Lakme Vit C Superglow Ivory Combo (Tint
+ Compact)(2 Pcs)",Kits & Combos,Combo,749,674,10,4.5,875,235,,In Stock,High,75
Lakme,"Lakme Unreal Cover Color Correctors -
Purple (3.9g)",Makeup,Face,550,440,20,4.2,31,1,,In Stock,High,110
Lakme,"Lakme Scarlet Rose Ultimate Lipstick &
Lip Liner Combo (2 Pcs)",Kits & Combos,Combo,1269,1215,4,4.4,459,92,,In Stock,High,54
Lakme,"Lakme 9 to 5 Vitamin C+ Scrub with
Licorice Extract and Walnut Shell Powder
Gentle Exfoliator (50 g)",Makeup,Face,399,359,10,4.4,178,8,,In Stock,High,40
Lakme,Lakme Glycolic AM Routine Combo,Kits & Combos,Combo,2326,1931,17,4.3,1949,380,,In Stock,High,395
Lakme,"Lakme Blush & Glow Refreshing Face Wash
with Vitamin C Serum and Kiwi Fruit
Extracts (150g)",Makeup,Face,490,0,0,5.0,2,0,,In Stock,High,490
Lakme,"Lakme Mini Primer + Cocoa Sin Combo (2
pcs)",Kits & Combos,Combo,1000,700,30,4.3,38079,1909,,In Stock,High,300
Lakme,"Lakme 9to5 Matte Moist Clay Facewash
(100 g)",Skin Care,Cleansers,260,0,0,4.3,239,12,,In Stock,High,260
Lakme,"Lakme Call Me Bae Liquid Lipstick &
Blush Combo (2 Pcs)",Kits & Combos,Combo,2098,0,0,4.8,181,133,,In Stock,High,2098
Lakme,"Lakme Glycolic Illuminate Serum & Day
Cream Combo",Kits & Combos,Combo,1498,1273,15,4.0,337,39,,In Stock,High,225
Lakme,"Lakme Lumi Strobe Cream Face & Body -
Dewy Rose & Bronze",Skin Care,Moisturizers,1098,988,10,4.4,9339,405,,In Stock,High,110
Lakme,"Lakme Primer + Gloss Nail Polish Pastels
Collection (2 pcs)",Kits & Combos,Combo,465,395,15,4.4,28709,2527,,In Stock,High,70
Lakme,"Lakme Unreal 3D Lip Definer, Sepia (12g)",Makeup,Lips,750,0,0,4.3,182,11,,In Stock,High,750
Lakme,"Lakme Everyday Essentails Combo (Kajal +
CC Cream)(2 Pcs)",Kits & Combos,Combo,609,559,8,4.4,90985,7579,,In Stock,High,50
